.metric,.estimator,.estimate,umi_cutoff,group
precision,binary,0.5586190917516218,0,CD4-6h-2e11
recall,binary,1,0,CD4-6h-2e11
sensitivity,binary,1,0,CD4-6h-2e11
specificity,binary,0,0,CD4-6h-2e11
precision,binary,0.5596564531104921,1,CD4-6h-2e11
recall,binary,1,1,CD4-6h-2e11
sensitivity,binary,1,1,CD4-6h-2e11
specificity,binary,0.004199475065616798,1,CD4-6h-2e11
precision,binary,0.5651664322550398,2,CD4-6h-2e11
recall,binary,1,2,CD4-6h-2e11
sensitivity,binary,1,2,CD4-6h-2e11
specificity,binary,0.026246719160104987,2,CD4-6h-2e11
precision,binary,0.5779860610430185,3,CD4-6h-2e11
recall,binary,0.9975114060555786,3,CD4-6h-2e11
sensitivity,binary,0.9975114060555786,3,CD4-6h-2e11
specificity,binary,0.07821522309711286,3,CD4-6h-2e11
precision,binary,0.5968703427719821,4,CD4-6h-2e11
recall,binary,0.9966818747407714,4,CD4-6h-2e11
sensitivity,binary,0.9966818747407714,4,CD4-6h-2e11
specificity,binary,0.14803149606299212,4,CD4-6h-2e11
precision,binary,0.624576933090341,5,CD4-6h-2e11
recall,binary,0.9950228121111572,5,CD4-6h-2e11
sensitivity,binary,0.9950228121111572,5,CD4-6h-2e11
specificity,binary,0.2430446194225722,5,CD4-6h-2e11
precision,binary,0.6622443338861249,6,CD4-6h-2e11
recall,binary,0.9937785151389465,6,CD4-6h-2e11
sensitivity,binary,0.9937785151389465,6,CD4-6h-2e11
specificity,binary,0.3585301837270341,6,CD4-6h-2e11
precision,binary,0.6956015147101661,7,CD4-6h-2e11
recall,binary,0.990460389879718,7,CD4-6h-2e11
sensitivity,binary,0.990460389879718,7,CD4-6h-2e11
specificity,binary,0.45144356955380577,7,CD4-6h-2e11
precision,binary,0.7288916180534234,8,CD4-6h-2e11
recall,binary,0.984653670676068,8,CD4-6h-2e11
sensitivity,binary,0.984653670676068,8,CD4-6h-2e11
specificity,binary,0.5364829396325459,8,CD4-6h-2e11
precision,binary,0.7613234821715387,9,CD4-6h-2e11
recall,binary,0.9829946080464538,9,CD4-6h-2e11
sensitivity,binary,0.9829946080464538,9,CD4-6h-2e11
specificity,binary,0.6099737532808399,9,CD4-6h-2e11
precision,binary,0.7813738441215323,10,CD4-6h-2e11
recall,binary,0.9813355454168395,10,CD4-6h-2e11
sensitivity,binary,0.9813355454168395,10,CD4-6h-2e11
specificity,binary,0.65249343832021,10,CD4-6h-2e11
precision,binary,0.8021045485403937,11,CD4-6h-2e11
recall,binary,0.9800912484446288,11,CD4-6h-2e11
sensitivity,binary,0.9800912484446288,11,CD4-6h-2e11
specificity,binary,0.6939632545931759,11,CD4-6h-2e11
precision,binary,0.8171111880845168,12,CD4-6h-2e11
recall,binary,0.9784321858150146,12,CD4-6h-2e11
sensitivity,binary,0.9784321858150146,12,CD4-6h-2e11
specificity,binary,0.7228346456692913,12,CD4-6h-2e11
precision,binary,0.8285814853924675,13,CD4-6h-2e11
recall,binary,0.9763583575279967,13,CD4-6h-2e11
sensitivity,binary,0.9763583575279967,13,CD4-6h-2e11
specificity,binary,0.7443569553805774,13,CD4-6h-2e11
precision,binary,0.8399428367274027,14,CD4-6h-2e11
recall,binary,0.975114060555786,14,CD4-6h-2e11
sensitivity,binary,0.975114060555786,14,CD4-6h-2e11
specificity,binary,0.7648293963254593,14,CD4-6h-2e11
precision,binary,0.8465703971119134,15,CD4-6h-2e11
recall,binary,0.9726254666113646,15,CD4-6h-2e11
sensitivity,binary,0.9726254666113646,15,CD4-6h-2e11
specificity,binary,0.7769028871391076,15,CD4-6h-2e11
precision,binary,0.8538096974115932,16,CD4-6h-2e11
recall,binary,0.9713811696391539,16,CD4-6h-2e11
sensitivity,binary,0.9713811696391539,16,CD4-6h-2e11
specificity,binary,0.789501312335958,16,CD4-6h-2e11
precision,binary,0.8609783008458992,17,CD4-6h-2e11
recall,binary,0.9709664039817503,17,CD4-6h-2e11
sensitivity,binary,0.9709664039817503,17,CD4-6h-2e11
specificity,binary,0.8015748031496063,17,CD4-6h-2e11
precision,binary,0.8688707280832095,18,CD4-6h-2e11
recall,binary,0.9701368726669432,18,CD4-6h-2e11
sensitivity,binary,0.9701368726669432,18,CD4-6h-2e11
specificity,binary,0.8146981627296588,18,CD4-6h-2e11
precision,binary,0.873877245508982,19,CD4-6h-2e11
recall,binary,0.9684778100373289,19,CD4-6h-2e11
sensitivity,binary,0.9684778100373289,19,CD4-6h-2e11
specificity,binary,0.8230971128608924,19,CD4-6h-2e11
precision,binary,0.8787193973634652,20,CD4-6h-2e11
recall,binary,0.9676482787225218,20,CD4-6h-2e11
sensitivity,binary,0.9676482787225218,20,CD4-6h-2e11
specificity,binary,0.8309711286089239,20,CD4-6h-2e11
precision,binary,0.8801965230536659,21,CD4-6h-2e11
recall,binary,0.9659892160929076,21,CD4-6h-2e11
sensitivity,binary,0.9659892160929076,21,CD4-6h-2e11
specificity,binary,0.8335958005249344,21,CD4-6h-2e11
precision,binary,0.8834472285497342,22,CD4-6h-2e11
recall,binary,0.9651596847781003,22,CD4-6h-2e11
sensitivity,binary,0.9651596847781003,22,CD4-6h-2e11
specificity,binary,0.8388451443569553,22,CD4-6h-2e11
precision,binary,0.885670731707317,23,CD4-6h-2e11
recall,binary,0.9639153878058897,23,CD4-6h-2e11
sensitivity,binary,0.9639153878058897,23,CD4-6h-2e11
specificity,binary,0.84251968503937,23,CD4-6h-2e11
precision,binary,0.8878254211332313,24,CD4-6h-2e11
recall,binary,0.9618415595188718,24,CD4-6h-2e11
sensitivity,binary,0.9618415595188718,24,CD4-6h-2e11
specificity,binary,0.8461942257217848,24,CD4-6h-2e11
precision,binary,0.8898695318495778,25,CD4-6h-2e11
recall,binary,0.9618415595188718,25,CD4-6h-2e11
sensitivity,binary,0.9618415595188718,25,CD4-6h-2e11
specificity,binary,0.8493438320209974,25,CD4-6h-2e11
precision,binary,0.8917982287254524,26,CD4-6h-2e11
recall,binary,0.9605972625466611,26,CD4-6h-2e11
sensitivity,binary,0.9605972625466611,26,CD4-6h-2e11
specificity,binary,0.85249343832021,26,CD4-6h-2e11
precision,binary,0.8950832365466512,27,CD4-6h-2e11
recall,binary,0.9589381999170469,27,CD4-6h-2e11
sensitivity,binary,0.9589381999170469,27,CD4-6h-2e11
specificity,binary,0.857742782152231,27,CD4-6h-2e11
precision,binary,0.8968192397207138,28,CD4-6h-2e11
recall,binary,0.9589381999170469,28,CD4-6h-2e11
sensitivity,binary,0.9589381999170469,28,CD4-6h-2e11
