.metric,.estimator,.estimate,umi_cutoff,group
precision,binary,0.5586190917516218,0,CD4-6h-2e11
recall,binary,1,0,CD4-6h-2e11
precision,binary,0.5596564531104921,1,CD4-6h-2e11
recall,binary,1,1,CD4-6h-2e11
precision,binary,0.5651664322550398,2,CD4-6h-2e11
recall,binary,1,2,CD4-6h-2e11
precision,binary,0.5779860610430185,3,CD4-6h-2e11
recall,binary,0.9975114060555786,3,CD4-6h-2e11
precision,binary,0.5968703427719821,4,CD4-6h-2e11
recall,binary,0.9966818747407714,4,CD4-6h-2e11
precision,binary,0.624576933090341,5,CD4-6h-2e11
recall,binary,0.9950228121111572,5,CD4-6h-2e11
precision,binary,0.6622443338861249,6,CD4-6h-2e11
recall,binary,0.9937785151389465,6,CD4-6h-2e11
precision,binary,0.6956015147101661,7,CD4-6h-2e11
recall,binary,0.990460389879718,7,CD4-6h-2e11
precision,binary,0.7288916180534234,8,CD4-6h-2e11
recall,binary,0.984653670676068,8,CD4-6h-2e11
precision,binary,0.7613234821715387,9,CD4-6h-2e11
recall,binary,0.9829946080464538,9,CD4-6h-2e11
precision,binary,0.7813738441215323,10,CD4-6h-2e11
recall,binary,0.9813355454168395,10,CD4-6h-2e11
precision,binary,0.8021045485403937,11,CD4-6h-2e11
recall,binary,0.9800912484446288,11,CD4-6h-2e11
precision,binary,0.8171111880845168,12,CD4-6h-2e11
recall,binary,0.9784321858150146,12,CD4-6h-2e11
precision,binary,0.8285814853924675,13,CD4-6h-2e11
recall,binary,0.9763583575279967,13,CD4-6h-2e11
precision,binary,0.8399428367274027,14,CD4-6h-2e11
recall,binary,0.975114060555786,14,CD4-6h-2e11
precision,binary,0.8465703971119134,15,CD4-6h-2e11
recall,binary,0.9726254666113646,15,CD4-6h-2e11
precision,binary,0.8538096974115932,16,CD4-6h-2e11
recall,binary,0.9713811696391539,16,CD4-6h-2e11
precision,binary,0.8609783008458992,17,CD4-6h-2e11
recall,binary,0.9709664039817503,17,CD4-6h-2e11
precision,binary,0.8688707280832095,18,CD4-6h-2e11
recall,binary,0.9701368726669432,18,CD4-6h-2e11
precision,binary,0.873877245508982,19,CD4-6h-2e11
recall,binary,0.9684778100373289,19,CD4-6h-2e11
precision,binary,0.8787193973634652,20,CD4-6h-2e11
recall,binary,0.9676482787225218,20,CD4-6h-2e11
precision,binary,0.8801965230536659,21,CD4-6h-2e11
recall,binary,0.9659892160929076,21,CD4-6h-2e11
precision,binary,0.8834472285497342,22,CD4-6h-2e11
recall,binary,0.9651596847781003,22,CD4-6h-2e11
precision,binary,0.885670731707317,23,CD4-6h-2e11
recall,binary,0.9639153878058897,23,CD4-6h-2e11
precision,binary,0.8878254211332313,24,CD4-6h-2e11
recall,binary,0.9618415595188718,24,CD4-6h-2e11
precision,binary,0.8898695318495778,25,CD4-6h-2e11
recall,binary,0.9618415595188718,25,CD4-6h-2e11
precision,binary,0.8917982287254524,26,CD4-6h-2e11
recall,binary,0.9605972625466611,26,CD4-6h-2e11
precision,binary,0.8950832365466512,27,CD4-6h-2e11
recall,binary,0.9589381999170469,27,CD4-6h-2e11
precision,binary,0.8968192397207138,28,CD4-6h-2e11
recall,binary,0.9589381999170469,28,CD4-6h-2e11
precision,binary,0.89883268482490275,29,CD4-6h-2e11
recall,binary,0.9581086686022398,29,CD4-6h-2e11
precision,binary,0.9005072181037846,30,CD4-6h-2e11
recall,binary,0.9572791372874326,30,CD4-6h-2e11
precision,binary,0.9032889584964762,31,CD4-6h-2e11
recall,binary,0.956864371630029,31,CD4-6h-2e11
precision,binary,0.9049862583431488,32,CD4-6h-2e11
recall,binary,0.9560348403152219,32,CD4-6h-2e11
precision,binary,0.905155450609996,33,CD4-6h-2e11
recall,binary,0.953961012028204,33,CD4-6h-2e11
precision,binary,0.9069033530571992,34,CD4-6h-2e11
recall,binary,0.9535462463708005,34,CD4-6h-2e11
precision,binary,0.9093787099327265,35,CD4-6h-2e11
recall,binary,0.9531314807133969,35,CD4-6h-2e11
precision,binary,0.9107850911974623,36,CD4-6h-2e11
recall,binary,0.9527167150559933,36,CD4-6h-2e11
precision,binary,0.9114728066693132,37,CD4-6h-2e11
recall,binary,0.9523019493985898,37,CD4-6h-2e11
precision,binary,0.9125248508946322,38,CD4-6h-2e11
recall,binary,0.9518871837411862,38,CD4-6h-2e11
precision,binary,0.9138755980861244,39,CD4-6h-2e11
recall,binary,0.9506428867689756,39,CD4-6h-2e11
precision,binary,0.9151660664265706,40,CD4-6h-2e11
recall,binary,0.9485690584819577,40,CD4-6h-2e11
precision,binary,0.9173022882376556,41,CD4-6h-2e11
recall,binary,0.9477395271671506,41,CD4-6h-2e11
precision,binary,0.9191146881287726,42,CD4-6h-2e11
recall,binary,0.947324761509747,42,CD4-6h-2e11
precision,binary,0.9208720226079935,43,CD4-6h-2e11
recall,binary,0.9460804645375362,43,CD4-6h-2e11
precision,binary,0.9223300970873787,44,CD4-6h-2e11
recall,binary,0.9456656988801327,44,CD4-6h-2e11
precision,binary,0.9226720647773279,45,CD4-6h-2e11
recall,binary,0.9452509332227291,45,CD4-6h-2e11
precision,binary,0.9237631792376317,46,CD4-6h-2e11
recall,binary,0.9448361675653256,46,CD4-6h-2e11
precision,binary,0.9274653626731867,47,CD4-6h-2e11
recall,binary,0.9440066362505185,47,CD4-6h-2e11
precision,binary,0.9285714285714286,48,CD4-6h-2e11
recall,binary,0.9435918705931149,48,CD4-6h-2e11
precision,binary,0.928921568627451,49,CD4-6h-2e11
recall,binary,0.9431771049357113,49,CD4-6h-2e11
precision,binary,0.9296523517382413,50,CD4-6h-2e11
recall,binary,0.9427623392783078,50,CD4-6h-2e11
precision,binary,0.9300040933278756,51,CD4-6h-2e11
recall,binary,0.9423475736209042,51,CD4-6h-2e11
precision,binary,0.9319114027891715,52,CD4-6h-2e11
recall,binary,0.9423475736209042,52,CD4-6h-2e11
precision,binary,0.9326488706365503,53,CD4-6h-2e11
recall,binary,0.9419328079635007,53,CD4-6h-2e11
precision,binary,0.9330320460147905,54,CD4-6h-2e11
recall,binary,0.9419328079635007,54,CD4-6h-2e11
precision,binary,0.9341292713050638,55,CD4-6h-2e11
recall,binary,0.9411032766486935,55,CD4-6h-2e11
precision,binary,0.9344600164880462,56,CD4-6h-2e11
recall,binary,0.9402737453338863,56,CD4-6h-2e11
precision,binary,0.935177539223782,57,CD4-6h-2e11
recall,binary,0.9394442140190792,57,CD4-6h-2e11
precision,binary,0.9363110008271298,58,CD4-6h-2e11
recall,binary,0.9390294483616757,58,CD4-6h-2e11
