.metric,.estimator,.estimate,umi_cutoff,group
precision,binary,0.28383458646616544,0,500
recall,binary,1,0,500
sensitivity,binary,1,0,500
specificity,binary,0,0,500
precision,binary,0.38461538461538464,1,500
recall,binary,0.9668874172185431,1,500
sensitivity,binary,0.9668874172185431,1,500
specificity,binary,0.3868766404199475,1,500
precision,binary,0.523916292974589,2,500
recall,binary,0.928476821192053,2,500
sensitivity,binary,0.928476821192053,2,500
specificity,binary,0.6656167979002625,2,500
precision,binary,0.6352723915050785,3,500
recall,binary,0.9112582781456954,3,500
sensitivity,binary,0.9112582781456954,3,500
specificity,binary,0.7926509186351706,3,500
precision,binary,0.7088607594936709,4,500
recall,binary,0.8900662251655629,4,500
sensitivity,binary,0.8900662251655629,4,500
specificity,binary,0.8551181102362204,4,500
precision,binary,0.7474518686296716,5,500
recall,binary,0.8741721854304636,5,500
sensitivity,binary,0.8741721854304636,5,500
specificity,binary,0.8829396325459318,5,500
precision,binary,0.7794994040524433,6,500
recall,binary,0.866225165562914,6,500
sensitivity,binary,0.866225165562914,6,500
specificity,binary,0.9028871391076115,6,500
precision,binary,0.7957658779576587,7,500
recall,binary,0.8463576158940397,7,500
sensitivity,binary,0.8463576158940397,7,500
specificity,binary,0.9139107611548556,7,500
precision,binary,0.8172458172458172,8,500
recall,binary,0.8410596026490066,8,500
sensitivity,binary,0.8410596026490066,8,500
specificity,binary,0.9254593175853019,8,500
precision,binary,0.8328912466843501,9,500
recall,binary,0.8317880794701987,9,500
sensitivity,binary,0.8317880794701987,9,500
specificity,binary,0.9338582677165355,9,500
precision,binary,0.8485675306957708,10,500
recall,binary,0.823841059602649,10,500
sensitivity,binary,0.823841059602649,10,500
specificity,binary,0.9417322834645669,10,500
precision,binary,0.855755894590846,11,500
recall,binary,0.8172185430463577,11,500
sensitivity,binary,0.8172185430463577,11,500
specificity,binary,0.9454068241469816,11,500
precision,binary,0.867043847241867,12,500
recall,binary,0.8119205298013245,12,500
sensitivity,binary,0.8119205298013245,12,500
specificity,binary,0.9506561679790027,12,500
precision,binary,0.8751793400286944,13,500
recall,binary,0.8079470198675497,13,500
sensitivity,binary,0.8079470198675497,13,500
specificity,binary,0.9543307086614173,13,500
precision,binary,0.876453488372093,14,500
recall,binary,0.7986754966887417,14,500
sensitivity,binary,0.7986754966887417,14,500
specificity,binary,0.9553805774278216,14,500
precision,binary,0.8864306784660767,15,500
recall,binary,0.7960264900662252,15,500
sensitivity,binary,0.7960264900662252,15,500
specificity,binary,0.9595800524934384,15,500
precision,binary,0.8880597014925373,16,500
recall,binary,0.7880794701986755,16,500
sensitivity,binary,0.7880794701986755,16,500
specificity,binary,0.9606299212598425,16,500
precision,binary,0.8905775075987842,17,500
recall,binary,0.776158940397351,17,500
sensitivity,binary,0.776158940397351,17,500
specificity,binary,0.9622047244094488,17,500
precision,binary,0.8938461538461538,18,500
recall,binary,0.7695364238410596,18,500
sensitivity,binary,0.7695364238410596,18,500
specificity,binary,0.9637795275590552,18,500
precision,binary,0.8975155279503105,19,500
recall,binary,0.7655629139072848,19,500
sensitivity,binary,0.7655629139072848,19,500
specificity,binary,0.9653543307086614,19,500
precision,binary,0.9007874015748032,20,500
recall,binary,0.7576158940397351,20,500
sensitivity,binary,0.7576158940397351,20,500
specificity,binary,0.9669291338582677,20,500
precision,binary,0.9072,21,500
recall,binary,0.7509933774834437,21,500
sensitivity,binary,0.7509933774834437,21,500
specificity,binary,0.9695538057742782,21,500
precision,binary,0.9108589951377634,22,500
recall,binary,0.7443708609271523,22,500
sensitivity,binary,0.7443708609271523,22,500
specificity,binary,0.9711286089238845,22,500
precision,binary,0.9117647058823529,23,500
recall,binary,0.7390728476821192,23,500
sensitivity,binary,0.7390728476821192,23,500
specificity,binary,0.9716535433070866,23,500
precision,binary,0.9176276771004942,24,500
recall,binary,0.7377483443708609,24,500
sensitivity,binary,0.7377483443708609,24,500
specificity,binary,0.973753280839895,24,500
precision,binary,0.9187396351575456,25,500
recall,binary,0.7337748344370861,25,500
sensitivity,binary,0.7337748344370861,25,500
specificity,binary,0.9742782152230971,25,500
precision,binary,0.9190556492411467,26,500
recall,binary,0.7218543046357616,26,500
sensitivity,binary,0.7218543046357616,26,500
specificity,binary,0.9748031496062992,26,500
precision,binary,0.9204737732656514,27,500
recall,binary,0.7205298013245033,27,500
sensitivity,binary,0.7205298013245033,27,500
specificity,binary,0.9753280839895013,27,500
precision,binary,0.9230769230769231,28,500
recall,binary,0.7152317880794702,28,500
sensitivity,binary,0.7152317880794702,28,500
specificity,binary,0.9763779527559056,28,500
precision,binary,0.9285714285714286,29,500
recall,binary,0.7059602649006622,29,500
sensitivity,binary,0.7059602649006622,29,500
specificity,binary,0.9784776902887139,29,500
precision,binary,0.9332161687170475,30,500
recall,binary,0.7033112582781457,30,500
sensitivity,binary,0.7033112582781457,30,500
specificity,binary,0.9800524934383202,30,500
precision,binary,0.9359430604982206,31,500
recall,binary,0.6966887417218544,31,500
sensitivity,binary,0.6966887417218544,31,500
specificity,binary,0.9811023622047244,31,500
precision,binary,0.9372759856630825,32,500
recall,binary,0.6927152317880795,32,500
sensitivity,binary,0.6927152317880795,32,500
specificity,binary,0.9816272965879265,32,500
precision,binary,0.9403254972875226,33,500
recall,binary,0.6887417218543046,33,500
sensitivity,binary,0.6887417218543046,33,500
specificity,binary,0.9826771653543307,33,500
precision,binary,0.9451553930530164,34,500
recall,binary,0.6847682119205298,34,500
sensitivity,binary,0.6847682119205298,34,500
specificity,binary,0.984251968503937,34,500
precision,binary,0.9484346224677717,35,500
recall,binary,0.6821192052980133,35,500
sensitivity,binary,0.6821192052980133,35,500
specificity,binary,0.9853018372703412,35,500
precision,binary,0.94972067039106145,36,500
recall,binary,0.6754966887417219,36,500
sensitivity,binary,0.6754966887417219,36,500
specificity,binary,0.9858267716535433,36,500
precision,binary,0.949343339587242,37,500
recall,binary,0.6701986754966888,37,500
sensitivity,binary,0.6701986754966888,37,500
specificity,binary,0.9858267716535433,37,500
precision,binary,0.9489603024574669,38,500
recall,binary,0.6649006622516557,38,500
sensitivity,binary,0.6649006622516557,38,500
specificity,binary,0.9858267716535433,38,500
precision,binary,0.9487666034155597,39,500
recall,binary,0.6622516556291391,39,500
sensitivity,binary,0.6622516556291391,39,500
specificity,binary,0.9858267716535433,39,500
precision,binary,0.9501915708812261,40,500
recall,binary,0.6569536423841059,40,500
sensitivity,binary,0.6569536423841059,40,500
specificity,binary,0.9863517060367454,40,500
precision,binary,0.9500959692898272,41,500
recall,binary,0.6556291390728477,41,500
sensitivity,binary,0.6556291390728477,41,500
specificity,binary,0.9863517060367454,41,500
precision,binary,0.9513618677042801,42,500
recall,binary,0.6476821192052981,42,500
sensitivity,binary,0.6476821192052981,42,500
specificity,binary,0.9868766404199475,42,500
precision,binary,0.9525691699604744,43,500
recall,binary,0.6384105960264901,43,500
sensitivity,binary,0.6384105960264901,43,500
specificity,binary,0.9874015748031496,43,500
precision,binary,0.9560878243512974,44,500
recall,binary,0.6344370860927152,44,500
sensitivity,binary,0.6344370860927152,44,500
specificity,binary,0.9884514435695538,44,500
precision,binary,0.9575757575757575,45,500
recall,binary,0.6278145695364239,45,500
sensitivity,binary,0.6278145695364239,45,500
specificity,binary,0.988976377952756,45,500
precision,binary,0.9612244897959183,46,500
recall,binary,0.623841059602649,46,500
sensitivity,binary,0.623841059602649,46,500
specificity,binary,0.9900262467191601,46,500
precision,binary,0.9606625258799172,47,500
recall,binary,0.614569536423841,47,500
sensitivity,binary,0.614569536423841,47,500
specificity,binary,0.9900262467191601,47,500
precision,binary,0.9603340292275574,48,500
recall,binary,0.609271523178808,48,500
sensitivity,binary,0.609271523178808,48,500
specificity,binary,0.9900262467191601,48,500
precision,binary,0.9600840336134454,49,500
recall,binary,0.6052980132450331,49,500
sensitivity,binary,0.6052980132450331,49,500
specificity,binary,0.9900262467191601,49,500
precision,binary,0.9620253164556962,50,500
recall,binary,0.6039735099337749,50,500
sensitivity,binary,0.6039735099337749,50,500
specificity,binary,0.9905511811023622,50,500
precision,binary,0.9617021276595744,51,500
recall,binary,0.5986754966887418,51,500
sensitivity,binary,0.5986754966887418,51,500
specificity,binary,0.9905511811023622,51,500
precision,binary,0.9633620689655172,52,500
recall,binary,0.5920529801324503,52,500
sensitivity,binary,0.5920529801324503,52,500
specificity,binary,0.9910761154855643,52,500
precision,binary,0.9651416122004357,53,500
recall,binary,0.5867549668874172,53,500
sensitivity,binary,0.5867549668874172,53,500
specificity,binary,0.9916010498687664,53,500
precision,binary,0.9650655021834061,54,500
recall,binary,0.5854304635761589,54,500
sensitivity,binary,0.5854304635761589,54,500
specificity,binary,0.9916010498687664,54,500
precision,binary,0.9648351648351648,55,500
recall,binary,0.5814569536423841,55,500
sensitivity,binary,0.5814569536423841,55,500
specificity,binary,0.9916010498687664,55,500
precision,binary,0.9644444444444444,56,500
recall,binary,0.5748344370860927,56,500
sensitivity,binary,0.5748344370860927,56,500
specificity,binary,0.9916010498687664,56,500
precision,binary,0.9640449438202248,57,500
recall,binary,0.5682119205298013,57,500
sensitivity,binary,0.5682119205298013,57,500
specificity,binary,0.9916010498687664,57,500
precision,binary,0.963882618510158,58,500
recall,binary,0.5655629139072847,58,500
sensitivity,binary,0.5655629139072847,58,500
specificity,binary,0.9916010498687664,58,500
precision,binary,0.963718820861678,59,500
recall,binary,0.5629139072847682,59,500
sensitivity,binary,0.5629139072847682,59,500
specificity,binary,0.9916010498687664,59,500
precision,binary,0.9633867276887872,60,500
recall,binary,0.5576158940397351,60,500
sensitivity,binary,0.5576158940397351,60,500
specificity,binary,0.9916010498687664,60,500
precision,binary,0.9630484988452656,61,500
recall,binary,0.552317880794702,61,500
sensitivity,binary,0.552317880794702,61,500
specificity,binary,0.9916010498687664,61,500
precision,binary,0.9627906976744186,62,500
recall,binary,0.5483443708609271,62,500
sensitivity,binary,0.5483443708609271,62,500
specificity,binary,0.9916010498687664,62,500
precision,binary,0.9626168224299065,63,500
recall,binary,0.5456953642384106,63,500
sensitivity,binary,0.5456953642384106,63,500
specificity,binary,0.9916010498687664,63,500
precision,binary,0.9621749408983451,64,500
recall,binary,0.5390728476821192,64,500
sensitivity,binary,0.5390728476821192,64,500
specificity,binary,0.9916010498687664,64,500
precision,binary,0.9621749408983451,65,500
recall,binary,0.5390728476821192,65,500
sensitivity,binary,0.5390728476821192,65,500
specificity,binary,0.9916010498687664,65,500
precision,binary,0.9642857142857143,66,500
recall,binary,0.5364238410596026,66,500
sensitivity,binary,0.5364238410596026,66,500
specificity,binary,0.9921259842519685,66,500
precision,binary,0.9685230024213075,67,500
recall,binary,0.5298013245033113,67,500
sensitivity,binary,0.5298013245033113,67,500
specificity,binary,0.9931758530183727,67,500
precision,binary,0.9707317073170731,68,500
recall,binary,0.5271523178807948,68,500
sensitivity,binary,0.5271523178807948,68,500
specificity,binary,0.9937007874015747,68,500
precision,binary,0.9705882352941176,69,500
recall,binary,0.5245033112582781,69,500
sensitivity,binary,0.5245033112582781,69,500
specificity,binary,0.9937007874015747,69,500
precision,binary,0.9702970297029703,70,500
recall,binary,0.519205298013245,70,500
sensitivity,binary,0.519205298013245,70,500
specificity,binary,0.9937007874015747,70,500
precision,binary,0.970074812967581,71,500
recall,binary,0.5152317880794702,71,500
