.metric,.estimator,.estimate,umi_cutoff,group
precision,binary,0.8667171525937145,24,CD4-6h-2e11
recall,binary,0.9493985897967648,24,CD4-6h-2e11
sensitivity,binary,0.9493985897967648,24,CD4-6h-2e11
specificity,binary,0.8152230971128609,24,CD4-6h-2e11
precision,binary,0.8686408504176157,25,CD4-6h-2e11
recall,binary,0.9489838241393612,25,CD4-6h-2e11
sensitivity,binary,0.9489838241393612,25,CD4-6h-2e11
specificity,binary,0.8183727034120735,25,CD4-6h-2e11
precision,binary,0.8700952380952381,26,CD4-6h-2e11
recall,binary,0.947324761509747,26,CD4-6h-2e11
sensitivity,binary,0.947324761509747,26,CD4-6h-2e11
specificity,binary,0.820997375328084,26,CD4-6h-2e11
precision,binary,0.8713249331806033,27,CD4-6h-2e11
recall,binary,0.9464952301949399,27,CD4-6h-2e11
sensitivity,binary,0.9464952301949399,27,CD4-6h-2e11
specificity,binary,0.8230971128608924,27,CD4-6h-2e11
precision,binary,0.872511485451761,28,CD4-6h-2e11
recall,binary,0.9452509332227291,28,CD4-6h-2e11
sensitivity,binary,0.9452509332227291,28,CD4-6h-2e11
specificity,binary,0.8251968503937008,28,CD4-6h-2e11
precision,binary,0.8739915482135997,29,CD4-6h-2e11
recall,binary,0.9435918705931149,29,CD4-6h-2e11
sensitivity,binary,0.9435918705931149,29,CD4-6h-2e11
specificity,binary,0.8278215223097113,29,CD4-6h-2e11
precision,binary,0.8765908214423448,30,CD4-6h-2e11
recall,binary,0.9427623392783078,30,CD4-6h-2e11
sensitivity,binary,0.9427623392783078,30,CD4-6h-2e11
specificity,binary,0.8320209973753281,30,CD4-6h-2e11
precision,binary,0.8799380325329202,31,CD4-6h-2e11
recall,binary,0.9423475736209042,31,CD4-6h-2e11
sensitivity,binary,0.9423475736209042,31,CD4-6h-2e11
specificity,binary,0.8372703412073491,31,CD4-6h-2e11
precision,binary,0.8809154383242824,32,CD4-6h-2e11
recall,binary,0.9419328079635007,32,CD4-6h-2e11
sensitivity,binary,0.9419328079635007,32,CD4-6h-2e11
specificity,binary,0.8388451443569553,32,CD4-6h-2e11
precision,binary,0.8825816485225505,33,CD4-6h-2e11
recall,binary,0.941518042306097,33,CD4-6h-2e11
sensitivity,binary,0.941518042306097,33,CD4-6h-2e11
specificity,binary,0.8414698162729659,33,CD4-6h-2e11
precision,binary,0.8852459016393442,34,CD4-6h-2e11
recall,binary,0.9406885109912899,34,CD4-6h-2e11
sensitivity,binary,0.9406885109912899,34,CD4-6h-2e11
specificity,binary,0.8456692913385827,34,CD4-6h-2e11
precision,binary,0.8879310344827587,35,CD4-6h-2e11
recall,binary,0.9398589796764828,35,CD4-6h-2e11
sensitivity,binary,0.9398589796764828,35,CD4-6h-2e11
specificity,binary,0.8498687664041995,35,CD4-6h-2e11
precision,binary,0.8898938261895399,36,CD4-6h-2e11
recall,binary,0.9386146827042721,36,CD4-6h-2e11
sensitivity,binary,0.9386146827042721,36,CD4-6h-2e11
specificity,binary,0.8530183727034121,36,CD4-6h-2e11
precision,binary,0.8914759273875296,37,CD4-6h-2e11
recall,binary,0.9369556200746578,37,CD4-6h-2e11
sensitivity,binary,0.9369556200746578,37,CD4-6h-2e11
specificity,binary,0.8556430446194225,37,CD4-6h-2e11
precision,binary,0.8935496636327661,38,CD4-6h-2e11
recall,binary,0.9365408544172542,38,CD4-6h-2e11
sensitivity,binary,0.9365408544172542,38,CD4-6h-2e11
specificity,binary,0.8587926509186352,38,CD4-6h-2e11
precision,binary,0.893735130848533,39,CD4-6h-2e11
recall,binary,0.93488179178764,39,CD4-6h-2e11
sensitivity,binary,0.93488179178764,39,CD4-6h-2e11
specificity,binary,0.8593175853018372,39,CD4-6h-2e11
precision,binary,0.8954689984101749,40,CD4-6h-2e11
recall,binary,0.9344670261302365,40,CD4-6h-2e11
sensitivity,binary,0.9344670261302365,40,CD4-6h-2e11
specificity,binary,0.8619422572178478,40,CD4-6h-2e11
precision,binary,0.895742140867489,41,CD4-6h-2e11
recall,binary,0.9336374948154292,41,CD4-6h-2e11
sensitivity,binary,0.9336374948154292,41,CD4-6h-2e11
specificity,binary,0.8624671916010499,41,CD4-6h-2e11
precision,binary,0.8967304625199362,42,CD4-6h-2e11
recall,binary,0.9328079635006221,42,CD4-6h-2e11
sensitivity,binary,0.9328079635006221,42,CD4-6h-2e11
specificity,binary,0.8640419947506561,42,CD4-6h-2e11
precision,binary,0.8979591836734694,43,CD4-6h-2e11
recall,binary,0.9307341352136043,43,CD4-6h-2e11
sensitivity,binary,0.9307341352136043,43,CD4-6h-2e11
specificity,binary,0.8661417322834646,43,CD4-6h-2e11
precision,binary,0.8993584603047313,44,CD4-6h-2e11
recall,binary,0.9303193695562008,44,CD4-6h-2e11
sensitivity,binary,0.9303193695562008,44,CD4-6h-2e11
specificity,binary,0.8682414698162729,44,CD4-6h-2e11
precision,binary,0.9000802568218299,45,CD4-6h-2e11
recall,binary,0.9303193695562008,45,CD4-6h-2e11
sensitivity,binary,0.9303193695562008,45,CD4-6h-2e11
specificity,binary,0.8692913385826772,45,CD4-6h-2e11
precision,binary,0.9010856453558505,46,CD4-6h-2e11
recall,binary,0.9294898382413936,46,CD4-6h-2e11
sensitivity,binary,0.9294898382413936,46,CD4-6h-2e11
specificity,binary,0.8708661417322835,46,CD4-6h-2e11
precision,binary,0.9024979854955681,47,CD4-6h-2e11
recall,binary,0.92907507258399,47,CD4-6h-2e11
sensitivity,binary,0.92907507258399,47,CD4-6h-2e11
specificity,binary,0.8729658792650918,47,CD4-6h-2e11
precision,binary,0.904281098546042,48,CD4-6h-2e11
recall,binary,0.9286603069265865,48,CD4-6h-2e11
sensitivity,binary,0.9286603069265865,48,CD4-6h-2e11
specificity,binary,0.8755905511811024,48,CD4-6h-2e11
precision,binary,0.9064019448946515,49,CD4-6h-2e11
recall,binary,0.9278307756117793,49,CD4-6h-2e11
sensitivity,binary,0.9278307756117793,49,CD4-6h-2e11
specificity,binary,0.878740157480315,49,CD4-6h-2e11
precision,binary,0.9077985377741673,50,CD4-6h-2e11
recall,binary,0.9270012442969722,50,CD4-6h-2e11
sensitivity,binary,0.9270012442969722,50,CD4-6h-2e11
specificity,binary,0.8808398950131233,50,CD4-6h-2e11
precision,binary,0.9099429502852485,51,CD4-6h-2e11
recall,binary,0.926171712982165,51,CD4-6h-2e11
sensitivity,binary,0.926171712982165,51,CD4-6h-2e11
specificity,binary,0.883989501312336,51,CD4-6h-2e11
precision,binary,0.9117647058823529,52,CD4-6h-2e11
recall,binary,0.9257569473247615,52,CD4-6h-2e11
sensitivity,binary,0.9257569473247615,52,CD4-6h-2e11
specificity,binary,0.8866141732283465,52,CD4-6h-2e11
precision,binary,0.9127764127764127,53,CD4-6h-2e11
recall,binary,0.9245126503525508,53,CD4-6h-2e11
sensitivity,binary,0.9245126503525508,53,CD4-6h-2e11
specificity,binary,0.8881889763779528,53,CD4-6h-2e11
precision,binary,0.9138284776364383,54,CD4-6h-2e11
recall,binary,0.9236831190377437,54,CD4-6h-2e11
sensitivity,binary,0.9236831190377437,54,CD4-6h-2e11
specificity,binary,0.889763779527559,54,CD4-6h-2e11
precision,binary,0.9140978216193999,55,CD4-6h-2e11
recall,binary,0.922438822065533,55,CD4-6h-2e11
sensitivity,binary,0.922438822065533,55,CD4-6h-2e11
specificity,binary,0.8902887139107611,55,CD4-6h-2e11
precision,binary,0.9159802306425041,56,CD4-6h-2e11
recall,binary,0.922438822065533,56,CD4-6h-2e11
sensitivity,binary,0.922438822065533,56,CD4-6h-2e11
specificity,binary,0.8929133858267716,56,CD4-6h-2e11
precision,binary,0.9166666666666666,57,CD4-6h-2e11
recall,binary,0.9216092907507258,57,CD4-6h-2e11
