.metric,.estimator,.estimate,umi_cutoff,group
precision,binary,0.9003167505123906,0,CD4-22h-2e11
recall,binary,1,0,CD4-22h-2e11
sensitivity,binary,1,0,CD4-22h-2e11
specificity,binary,0,0,CD4-22h-2e11
precision,binary,0.9008017900428864,1,CD4-22h-2e11
recall,binary,0.9997930463576159,1,CD4-22h-2e11
sensitivity,binary,0.9997930463576159,1,CD4-22h-2e11
specificity,binary,0.005607476635514018,1,CD4-22h-2e11
precision,binary,0.9027492051617729,2,CD4-22h-2e11
recall,binary,0.9989652317880795,2,CD4-22h-2e11
sensitivity,binary,0.9989652317880795,2,CD4-22h-2e11
specificity,binary,0.028037383177570093,2,CD4-22h-2e11
precision,binary,0.9062852841550622,3,CD4-22h-2e11
recall,binary,0.9966887417218543,3,CD4-22h-2e11
sensitivity,binary,0.9966887417218543,3,CD4-22h-2e11
specificity,binary,0.0691588785046729,3,CD4-22h-2e11
precision,binary,0.9123173277661796,4,CD4-22h-2e11
recall,binary,0.9948261589403974,4,CD4-22h-2e11
sensitivity,binary,0.9948261589403974,4,CD4-22h-2e11
specificity,binary,0.13644859813084112,4,CD4-22h-2e11
precision,binary,0.9206012719213721,5,CD4-22h-2e11
recall,binary,0.9886175496688742,5,CD4-22h-2e11
sensitivity,binary,0.9886175496688742,5,CD4-22h-2e11
specificity,binary,0.22990654205607478,5,CD4-22h-2e11
precision,binary,0.9285153181461115,6,CD4-22h-2e11
recall,binary,0.9784768211920529,6,CD4-22h-2e11
sensitivity,binary,0.9784768211920529,6,CD4-22h-2e11
specificity,binary,0.31962616822429907,6,CD4-22h-2e11
precision,binary,0.9370629370629371,7,CD4-22h-2e11
recall,binary,0.9706125827814569,7,CD4-22h-2e11
sensitivity,binary,0.9706125827814569,7,CD4-22h-2e11
specificity,binary,0.411214953271028,7,CD4-22h-2e11
precision,binary,0.9473791141812271,8,CD4-22h-2e11
recall,binary,0.9650248344370861,8,CD4-22h-2e11
sensitivity,binary,0.9650248344370861,8,CD4-22h-2e11
specificity,binary,0.5158878504672897,8,CD4-22h-2e11
precision,binary,0.9530090684253916,9,CD4-22h-2e11
recall,binary,0.956953642384106,9,CD4-22h-2e11
sensitivity,binary,0.956953642384106,9,CD4-22h-2e11
specificity,binary,0.5738317757009346,9,CD4-22h-2e11
precision,binary,0.9596824733653645,10,CD4-22h-2e11
recall,binary,0.9507450331125827,10,CD4-22h-2e11
sensitivity,binary,0.9507450331125827,10,CD4-22h-2e11
specificity,binary,0.6392523364485981,10,CD4-22h-2e11
precision,binary,0.9624472573839662,11,CD4-22h-2e11
recall,binary,0.9441225165562914,11,CD4-22h-2e11
sensitivity,binary,0.9441225165562914,11,CD4-22h-2e11
specificity,binary,0.6672897196261682,11,CD4-22h-2e11
precision,binary,0.9655465759251383,12,CD4-22h-2e11
recall,binary,0.9395695364238411,12,CD4-22h-2e11
sensitivity,binary,0.9395695364238411,12,CD4-22h-2e11
specificity,binary,0.697196261682243,12,CD4-22h-2e11
precision,binary,0.9673469387755103,13,CD4-22h-2e11
recall,binary,0.9319122516556292,13,CD4-22h-2e11
sensitivity,binary,0.9319122516556292,13,CD4-22h-2e11
specificity,binary,0.7158878504672898,13,CD4-22h-2e11
precision,binary,0.9696772796188001,14,CD4-22h-2e11
recall,binary,0.9265314569536424,14,CD4-22h-2e11
sensitivity,binary,0.9265314569536424,14,CD4-22h-2e11
specificity,binary,0.7383177570093458,14,CD4-22h-2e11
precision,binary,0.9718463553033609,15,CD4-22h-2e11
recall,binary,0.9215645695364238,15,CD4-22h-2e11
sensitivity,binary,0.9215645695364238,15,CD4-22h-2e11
specificity,binary,0.7588785046728972,15,CD4-22h-2e11
precision,binary,0.9727472527472527,16,CD4-22h-2e11
recall,binary,0.9159768211920529,16,CD4-22h-2e11
sensitivity,binary,0.9159768211920529,16,CD4-22h-2e11
specificity,binary,0.7682242990654206,16,CD4-22h-2e11
precision,binary,0.9743419597434196,17,CD4-22h-2e11
recall,binary,0.9116307947019867,17,CD4-22h-2e11
sensitivity,binary,0.9116307947019867,17,CD4-22h-2e11
specificity,binary,0.7831775700934579,17,CD4-22h-2e11
precision,binary,0.9751055790175595,18,CD4-22h-2e11
recall,binary,0.9079056291390728,18,CD4-22h-2e11
sensitivity,binary,0.9079056291390728,18,CD4-22h-2e11
specificity,binary,0.7906542056074767,18,CD4-22h-2e11
precision,binary,0.9758767031494304,19,CD4-22h-2e11
recall,binary,0.9041804635761589,19,CD4-22h-2e11
sensitivity,binary,0.9041804635761589,19,CD4-22h-2e11
specificity,binary,0.7981308411214953,19,CD4-22h-2e11
precision,binary,0.9764521193092621,20,CD4-22h-2e11
recall,binary,0.9010761589403974,20,CD4-22h-2e11
sensitivity,binary,0.9010761589403974,20,CD4-22h-2e11
specificity,binary,0.8037383177570093,20,CD4-22h-2e11
precision,binary,0.9774419129257839,21,CD4-22h-2e11
recall,binary,0.8967301324503312,21,CD4-22h-2e11
sensitivity,binary,0.8967301324503312,21,CD4-22h-2e11
specificity,binary,0.8130841121495327,21,CD4-22h-2e11
precision,binary,0.9784775713638423,22,CD4-22h-2e11
recall,binary,0.8938327814569537,22,CD4-22h-2e11
sensitivity,binary,0.8938327814569537,22,CD4-22h-2e11
specificity,binary,0.822429906542056,22,CD4-22h-2e11
precision,binary,0.9792095042266392,23,CD4-22h-2e11
recall,binary,0.8870033112582781,23,CD4-22h-2e11
sensitivity,binary,0.8870033112582781,23,CD4-22h-2e11
specificity,binary,0.8299065420560747,23,CD4-22h-2e11
precision,binary,0.9793577981651376,24,CD4-22h-2e11
recall,binary,0.8836920529801324,24,CD4-22h-2e11
sensitivity,binary,0.8836920529801324,24,CD4-22h-2e11
specificity,binary,0.8317757009345794,24,CD4-22h-2e11
precision,binary,0.9794930875576037,25,CD4-22h-2e11
recall,binary,0.8797599337748344,25,CD4-22h-2e11
sensitivity,binary,0.8797599337748344,25,CD4-22h-2e11
specificity,binary,0.8336448598130841,25,CD4-22h-2e11
precision,binary,0.9801064075873236,26,CD4-22h-2e11
recall,binary,0.8768625827814569,26,CD4-22h-2e11
sensitivity,binary,0.8768625827814569,26,CD4-22h-2e11
specificity,binary,0.8392523364485981,26,CD4-22h-2e11
precision,binary,0.9804605722260991,27,CD4-22h-2e11
recall,binary,0.8723096026490066,27,CD4-22h-2e11
sensitivity,binary,0.8723096026490066,27,CD4-22h-2e11
specificity,binary,0.8429906542056075,27,CD4-22h-2e11
precision,binary,0.9803646563814866,28,CD4-22h-2e11
recall,binary,0.8679635761589404,28,CD4-22h-2e11
sensitivity,binary,0.8679635761589404,28,CD4-22h-2e11
specificity,binary,0.8429906542056075,28,CD4-22h-2e11
precision,binary,0.9814553990610329,29,CD4-22h-2e11
recall,binary,0.8652731788079471,29,CD4-22h-2e11
sensitivity,binary,0.8652731788079471,29,CD4-22h-2e11
specificity,binary,0.8523364485981308,29,CD4-22h-2e11
precision,binary,0.9813635291342298,30,CD4-22h-2e11
recall,binary,0.8609271523178808,30,CD4-22h-2e11
sensitivity,binary,0.8609271523178808,30,CD4-22h-2e11
specificity,binary,0.8523364485981308,30,CD4-22h-2e11
precision,binary,0.9812884888678352,31,CD4-22h-2e11
recall,binary,0.8574089403973509,31,CD4-22h-2e11
sensitivity,binary,0.8574089403973509,31,CD4-22h-2e11
specificity,binary,0.8523364485981308,31,CD4-22h-2e11
precision,binary,0.981459472308058,32,CD4-22h-2e11
recall,binary,0.8545115894039735,32,CD4-22h-2e11
sensitivity,binary,0.8545115894039735,32,CD4-22h-2e11
specificity,binary,0.8542056074766355,32,CD4-22h-2e11
precision,binary,0.9816185247075674,33,CD4-22h-2e11
recall,binary,0.8509933774834437,33,CD4-22h-2e11
sensitivity,binary,0.8509933774834437,33,CD4-22h-2e11
specificity,binary,0.8560747663551402,33,CD4-22h-2e11
precision,binary,0.9815436241610739,34,CD4-22h-2e11
recall,binary,0.8474751655629139,34,CD4-22h-2e11
sensitivity,binary,0.8474751655629139,34,CD4-22h-2e11
specificity,binary,0.8560747663551402,34,CD4-22h-2e11
precision,binary,0.981468110709988,35,CD4-22h-2e11
recall,binary,0.8439569536423841,35,CD4-22h-2e11
sensitivity,binary,0.8439569536423841,35,CD4-22h-2e11
specificity,binary,0.8560747663551402,35,CD4-22h-2e11
precision,binary,0.9821212853346218,36,CD4-22h-2e11
recall,binary,0.8412665562913907,36,CD4-22h-2e11
sensitivity,binary,0.8412665562913907,36,CD4-22h-2e11
specificity,binary,0.8616822429906542,36,CD4-22h-2e11
precision,binary,0.9822987390882638,37,CD4-22h-2e11
recall,binary,0.8383692052980133,37,CD4-22h-2e11
