.metric,.estimator,.estimate,umi_cutoff,group
precision,binary,0.8958868894601543,0,CD4-22h-2e11
recall,binary,1,0,CD4-22h-2e11
precision,binary,0.8989861751152074,1,CD4-22h-2e11
recall,binary,0.9995900799344127,1,CD4-22h-2e11
precision,binary,0.9063258070535548,2,CD4-22h-2e11
recall,binary,0.9954908792785406,2,CD4-22h-2e11
precision,binary,0.9143829143829144,3,CD4-22h-2e11
recall,binary,0.9915966386554622,3,CD4-22h-2e11
precision,binary,0.9277852867348909,4,CD4-22h-2e11
recall,binary,0.9848329575732732,4,CD4-22h-2e11
precision,binary,0.9371563236449332,5,CD4-22h-2e11
recall,binary,0.9780692764910842,5,CD4-22h-2e11
precision,binary,0.9450527573163449,6,CD4-22h-2e11
recall,binary,0.9729452756712441,6,CD4-22h-2e11
precision,binary,0.9541136042045685,7,CD4-22h-2e11
recall,binary,0.9674113547858167,7,CD4-22h-2e11
precision,binary,0.9573556417057744,8,CD4-22h-2e11
recall,binary,0.9616724738675958,8,CD4-22h-2e11
precision,binary,0.960675313979823,9,CD4-22h-2e11
recall,binary,0.9563435130149621,9,CD4-22h-2e11
precision,binary,0.9638178415470992,10,CD4-22h-2e11
recall,binary,0.9499897519983603,10,CD4-22h-2e11
precision,binary,0.96514801595633,11,CD4-22h-2e11
recall,binary,0.9422012707522033,11,CD4-22h-2e11
precision,binary,0.9669771380186283,12,CD4-22h-2e11
recall,binary,0.9362574298011888,12,CD4-22h-2e11
precision,binary,0.9685897435897436,13,CD4-22h-2e11
recall,binary,0.9290838286534125,13,CD4-22h-2e11
precision,binary,0.9697099892588614,14,CD4-22h-2e11
recall,binary,0.9251895880303341,14,CD4-22h-2e11
precision,binary,0.9716634220203331,15,CD4-22h-2e11
recall,binary,0.9206804673088748,15,CD4-22h-2e11
precision,binary,0.9734262687867566,16,CD4-22h-2e11
recall,binary,0.9159663865546218,16,CD4-22h-2e11
precision,binary,0.9745948313622427,17,CD4-22h-2e11
recall,binary,0.9120721459315434,17,CD4-22h-2e11
precision,binary,0.975115613301035,18,CD4-22h-2e11
recall,binary,0.907563025210084,18,CD4-22h-2e11
precision,binary,0.9754858657243817,19,CD4-22h-2e11
recall,binary,0.9053084648493543,19,CD4-22h-2e11
precision,binary,0.9771212794313638,20,CD4-22h-2e11
recall,binary,0.9016191842590695,20,CD4-22h-2e11
precision,binary,0.9779017857142858,21,CD4-22h-2e11
recall,binary,0.8979299036687846,21,CD4-22h-2e11
precision,binary,0.978675645342312,22,CD4-22h-2e11
recall,binary,0.8936257429801189,22,CD4-22h-2e11
precision,binary,0.9794675090252708,23,CD4-22h-2e11
recall,binary,0.8897315023570403,23,CD4-22h-2e11
precision,binary,0.9796103307657453,24,CD4-22h-2e11
recall,binary,0.8862471817995491,24,CD4-22h-2e11
precision,binary,0.980191256830601,25,CD4-22h-2e11
