.metric,.estimator,.estimate,umi_cutoff,group
precision,binary,0.5626569276420909,0,CD4-6h-2e11
recall,binary,1,0,CD4-6h-2e11
precision,binary,0.5747609050618148,1,CD4-6h-2e11
recall,binary,0.9995943204868154,1,CD4-6h-2e11
precision,binary,0.6019108280254777,2,CD4-6h-2e11
recall,binary,0.9967545638945233,2,CD4-6h-2e11
precision,binary,0.6357031655422937,3,CD4-6h-2e11
recall,binary,0.9939148073022313,3,CD4-6h-2e11
precision,binary,0.6746119733924612,4,CD4-6h-2e11
recall,binary,0.9874239350912779,4,CD4-6h-2e11
precision,binary,0.7106420404573439,5,CD4-6h-2e11
recall,binary,0.983367139959432,5,CD4-6h-2e11
precision,binary,0.7433846153846154,6,CD4-6h-2e11
recall,binary,0.9801217038539554,6,CD4-6h-2e11
precision,binary,0.77296082209377,7,CD4-6h-2e11
recall,binary,0.9764705882352941,7,CD4-6h-2e11
precision,binary,0.7935142289874255,8,CD4-6h-2e11
recall,binary,0.9728194726166328,8,CD4-6h-2e11
precision,binary,0.8077053058465697,9,CD4-6h-2e11
recall,binary,0.9695740365111561,9,CD4-6h-2e11
precision,binary,0.8228197173388486,10,CD4-6h-2e11
recall,binary,0.9683569979716025,10,CD4-6h-2e11
precision,binary,0.831641582079104,11,CD4-6h-2e11
recall,binary,0.963894523326572,11,CD4-6h-2e11
precision,binary,0.841563055062167,12,CD4-6h-2e11
recall,binary,0.9610547667342799,12,CD4-6h-2e11
precision,binary,0.8483870967741935,13,CD4-6h-2e11
recall,binary,0.9602434077079107,13,CD4-6h-2e11
precision,binary,0.8529624277456648,14,CD4-6h-2e11
recall,binary,0.9578093306288032,14,CD4-6h-2e11
precision,binary,0.8576110706482156,15,CD4-6h-2e11
recall,binary,0.9553752535496958,15,CD4-6h-2e11
precision,binary,0.8610703812316716,16,CD4-6h-2e11
recall,binary,0.9529411764705882,16,CD4-6h-2e11
precision,binary,0.8640383198231393,17,CD4-6h-2e11
recall,binary,0.9513184584178499,17,CD4-6h-2e11
precision,binary,0.8681481481481481,18,CD4-6h-2e11
recall,binary,0.9509127789046653,18,CD4-6h-2e11
precision,binary,0.8693224125093075,19,CD4-6h-2e11
recall,binary,0.947261663286004,19,CD4-6h-2e11
precision,binary,0.8730812429801572,20,CD4-6h-2e11
recall,binary,0.9460446247464503,20,CD4-6h-2e11
precision,binary,0.8765525028227324,21,CD4-6h-2e11
recall,binary,0.9448275862068966,21,CD4-6h-2e11
precision,binary,0.8790170132325141,22,CD4-6h-2e11
recall,binary,0.9432048681541582,22,CD4-6h-2e11
precision,binary,0.8812594840667678,23,CD4-6h-2e11
recall,binary,0.9423935091277891,23,CD4-6h-2e11
precision,binary,0.8852021357742181,24,CD4-6h-2e11
recall,binary,0.9415821501014199,24,CD4-6h-2e11
precision,binary,0.8877824588280352,25,CD4-6h-2e11
recall,binary,0.9403651115618661,25,CD4-6h-2e11
precision,binary,0.8896153846153846,26,CD4-6h-2e11
recall,binary,0.9383367139959432,26,CD4-6h-2e11
precision,binary,0.8919336163643381,27,CD4-6h-2e11
recall,binary,0.937525354969574,27,CD4-6h-2e11
precision,binary,0.8928433268858801,28,CD4-6h-2e11
recall,binary,0.9363083164300203,28,CD4-6h-2e11
precision,binary,0.8951048951048951,29,CD4-6h-2e11
recall,binary,0.9346855983772819,29,CD4-6h-2e11
precision,binary,0.897196261682243,30,CD4-6h-2e11
recall,binary,0.9346855983772819,30,CD4-6h-2e11
precision,binary,0.8983978116451738,31,CD4-6h-2e11
recall,binary,0.932657200811359,31,CD4-6h-2e11
precision,binary,0.9,32,CD4-6h-2e11
recall,binary,0.9310344827586207,32,CD4-6h-2e11
precision,binary,0.902084152575698,33,CD4-6h-2e11
recall,binary,0.9306288032454361,33,CD4-6h-2e11
precision,binary,0.9051758198340577,34,CD4-6h-2e11
recall,binary,0.9294117647058824,34,CD4-6h-2e11
precision,binary,0.9064976228209192,35,CD4-6h-2e11
recall,binary,0.9281947261663286,35,CD4-6h-2e11
precision,binary,0.9077901430842608,36,CD4-6h-2e11
recall,binary,0.9265720081135903,36,CD4-6h-2e11
precision,binary,0.911377245508982,37,CD4-6h-2e11
recall,binary,0.9261663286004057,37,CD4-6h-2e11
precision,binary,0.914560770156438,38,CD4-6h-2e11
recall,binary,0.9249492900608519,38,CD4-6h-2e11
precision,binary,0.9148252310164725,39,CD4-6h-2e11
recall,binary,0.9237322515212981,39,CD4-6h-2e11
precision,binary,0.9158953722334005,40,CD4-6h-2e11
recall,binary,0.9233265720081136,40,CD4-6h-2e11
precision,binary,0.917946645109135,41,CD4-6h-2e11
recall,binary,0.9212981744421906,41,CD4-6h-2e11
precision,binary,0.9182186234817814,42,CD4-6h-2e11
recall,binary,0.920081135902637,42,CD4-6h-2e11
precision,binary,0.9193352249695987,43,CD4-6h-2e11
recall,binary,0.920081135902637,43,CD4-6h-2e11
precision,binary,0.920796100731113,44,CD4-6h-2e11
