conditions,genes,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
6h-2e11,Igfbp4,4.7871992149319405e-28,0.8558838176525263,0.418,0.266,6.602026437312639e-24
6h-2e11,Tomm20,5.695888787306741e-28,-0.3366275226266555,0.858,0.91,7.855200226574726e-24
6h-2e11,Pdcd1,1.6138812113783968e-27,-0.6900008613975647,0.37,0.522,2.225703578611947e-23
6h-2e11,Bcl2a1b,2.3817793901280527e-27,-0.7085807197329267,0.326,0.478,3.2847119569255975e-23
6h-2e11,Pno1,2.6428663970861074e-27,-0.5969073357959973,0.463,0.6,3.6447770482214504e-23
6h-2e11,Ets1,3.579782068994398e-27,0.5248262344417225,0.689,0.55,4.9368774513501745e-23
6h-2e11,Sh3bp1,3.842880486469212e-27,0.799296264465254,0.411,0.262,5.29971647888969e-23
6h-2e11,Cd47,5.8920205078961554e-27,0.41488321314029575,0.825,0.734,8.125685482439588e-23
6h-2e11,Rras2,1.352529390971695e-26,0.7836738832635125,0.439,0.293,1.8652732830890647e-22
6h-2e11,Nop58,2.120539459780051e-26,-0.33886222318034553,0.794,0.878,2.9244359689826683e-22
6h-2e11,Vim,3.7286931828718294e-26,0.3900733960209408,0.895,0.837,5.14224076849854e-22
6h-2e11,Mdfic,5.313864713062332e-26,-0.6111426750392361,0.47,0.605,7.328350825784263e-22
6h-2e11,Ifi47,7.990888563413699e-26,0.4990095954657115,0.567,0.409,1.1020234417803833e-21
6h-2e11,Ppan,1.1860373271382165e-25,-0.584151640696245,0.486,0.611,1.6356640778563143e-21
6h-2e11,Top1,2.1113806881540353e-25,-0.3966029552150754,0.729,0.823,2.91180510703323e-21
6h-2e11,Fnip1,2.262794603616542e-25,0.5662020080298507,0.62,0.482,3.1206200378475728e-21
6h-2e11,Srgn,2.314744508530578e-25,-0.39191207125245975,0.809,0.876,3.1922641517145203e-21
6h-2e11,Cyth1,2.4944837943678874e-25,0.7327581840230738,0.487,0.35,3.440142600812753e-21
6h-2e11,Akap13,3.660057374583152e-25,0.5388654575807698,0.697,0.581,5.047585125287625e-21
6h-2e11,Ypel3,3.742722070493119e-25,0.8929683840599445,0.31,0.175,5.161588007417061e-21
6h-2e11,Mbnl1,8.393859643208236e-25,0.31428750442676034,0.963,0.937,1.1575971833948478e-20
